ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
247453,simple,"THRAXUS IQ","Radians Thraxus IQ Safety Eyewear",0,0,visible,,"IQUITY - A PREMIUM COATING THAT PERFORMS BEYOND EXPECTATION. Every once in a while, a revolutionary innovation comes along that really makes a difference in how you see things. Radians new IQuity Anti-Fog Coating is a breakthrough technology that provides one of the most superior and long-lasting anti-fog coatings in the marketplace at a competitive price. It is both EN166K and N compliant. The water-based coating lasts much longer because the anti-fog and anti-scratch properties are built into the lens for long-term wear and durability. With the latest patented technologies, materials, and processes, THRAXUS by Radians is the next generation of highly protective, ultra-comfortable and super stylish safety eyewear.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Thraxus20IQ20Safety20Eyewear.jpg,,,,,,,,,0
247462,simple,"OBLITERATOR IQ","Radians Obliterator IQ - IQuity Anti-Fog Foam Lined Safety Eyewear",0,0,visible,,"Every once in a while, a revolutionary innovation comes along that really makes a difference in how you see things. Radians new IQuity Anti-Fog Coating is a breakthrough technology that provides one of the most superior and long-lasting anti-fog coatings in the marketplace at a competitive price. It is both EN166K and N compliant. The water-based coating lasts much longer because the anti-fog and anti-scratch properties are built into the lens for long-term wear and durability. Radians Obliterator IQ foam lined safety eyewear comes with a removable foam lining and adjustable headstrap.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Obliterator20IQ20-20IQuity20Anti-Fog20Foam20Lined20Safety20Eyewear.jpg,,,,,,,,,0
247465,simple,"DAGGER IQ","Radians Dagger IQ - IQUITY Anti-Fog Safety Goggle Replacement Lens",0,0,visible,,"Radians new IQuity Anti-Fog Coating is a breakthrough technology that provides one of the most superior and long-lasting anti-fog coatings in the marketplace at a competitive price. It is both EN166K and N compliant. The water-based coating lasts much longer because the anti-fog and anti-scratch properties are built into the lens for long-term wear and durability.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Dagger20IQ20-20IQUITY20Anti-Fog20Safety20Goggle20Replacement20Lens.jpg,,,,,,,,,0
247470,simple,"OPTIMA IQ","Radians Optima IQ - IQUITY Anti-Fog Safety Eyewear",0,0,visible,,"IQUITY - A PREMIUM COATING THAT PERFORMS BEYOND EXPECTATION. Every once in a while, a revolutionary innovation comes along that really makes a difference in how you see things. Radians new IQuity Anti-Fog Coating is a breakthrough technology that provides one of the most superior and long-lasting anti-fog coatings in the marketplace at a competitive price. It is both EN166K and N compliant. The water-based coating lasts much longer because the anti-fog and anti-scratch properties are built into the lens for long-term wear and durability. The Radians Optima IQ Safety Glass offers a lightweight frame with dual mold temples. Adjustable rubber nose piece provides a comfortable, customized no-slip fit. Polycarbonate lens is impact resistant.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Optima20IQ20-20IQUITY20Anti-Fog20Safety20Eyewear.jpg,,,,,,,,,0
247476,simple,RPG,"Crossfire RPG Premium Safety Eyewear",0,0,visible,,"The newly redesigned, full frame Crossfire RPG safety eyewear makes the list again as one of our best selling styles. It fits a wide range of users and it is excellent in diverse environments. This model is also available with a polarized lens.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20RPG20Premium20Safety20Eyewear.jpg,,,,,,,,,0
247479,simple,INFINITY,"Crossfire Infinity Premium Safety Eyewear",0,0,visible,,"The full frame Crossfire Infinity Safety Glass joins the list of one of top selling designs. The comfortable fit is easy to wear all day and is offered in various options including polarized.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Infinity20Premium20Safety20Eyewear.jpg,,,,,,,,,0
247482,simple,ES4,"Crossfire ES4 Bifocal Safety Eyewear",0,0,visible,,"The Crossfire ES4 Bifocal Safety Glass is designed for all environments, the ES4 features an adjustable nosepiece, ultralight frame, and 100% visually correct lenses. Lateral protection compliance H for medium to small faces.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20ES420Bifocal20Safety20Eyewear.jpg,,,,,,,,,0
247485,simple,ES5,"Crossfire ES5W Premium Safety Eyewear",0,0,visible,,"Designed for outdoor sports, the Crossfire ES5W provides a polished looked with a light weight fit. The adjustable wired temples provide a perfect, comfortable fit and extra stability The sleek framework provides substantial coverage for a variety of environments.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20ES5W20Premium20Safety20Eyewear.jpg,,,,,,,,,0
247488,simple,"ES5 BIFOCAL","Crossfire ES5 Bifocal Safety Eyewear",0,0,visible,,"The Crossfire ES5 Bifocal Safety Glass is designed for outdoor sports. The ES5 provides a polished looked with a light weight fit. The sleek framework provides substantial coverage for a variety of environments.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20ES520Bifocal20Safety20Eyewear.jpg,,,,,,,,,0
247491,simple,ES6,"Crossfire ES6 Premium Safety Eyewear",0,0,visible,,"The Crossfire ES6 Safety Glass is designed for style and comfort. The ES6 features a soft, rubber nosepiece, lightweight frame, and inlaid temple grips for better stability and comfort. This style is available with a polarized lens.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20ES620Premium20Safety20Eyewear.jpg,,,,,,,,,0
